(128, 4, 50)
Tensor("sigmoid/Wx_plus_b/Tensordot:0", shape=(128, 4, 2), dtype=float32)
step 5001, training accuracy -6.42538e-05
step 5011, training accuracy -6.42538e-05
step 5021, training accuracy -6.42538e-05
step 5031, training accuracy -6.42538e-05
step 5041, training accuracy -6.42538e-05
step 5051, training accuracy -6.40154e-05
step 5061, training accuracy -6.42538e-05
step 5071, training accuracy -6.42538e-05
step 5081, training accuracy -6.41346e-05
step 5091, training accuracy -6.42538e-05
step 5101, training accuracy -6.42538e-05
step 5111, training accuracy -6.42538e-05
step 5121, training accuracy -6.42538e-05
step 5131, training accuracy -6.42538e-05
step 5141, training accuracy -6.42538e-05
step 5151, training accuracy -6.41346e-05
step 5161, training accuracy -6.42538e-05
step 5171, training accuracy -6.42538e-05
step 5181, training accuracy -6.42538e-05
step 5191, training accuracy -6.42538e-05
step 5201, training accuracy -6.42538e-05
step 5211, training accuracy -6.42538e-05
step 5221, training accuracy -6.42538e-05
step 5231, training accuracy -6.42538e-05
step 5241, training accuracy -6.42538e-05
step 5251, training accuracy -6.42538e-05
step 5261, training accuracy -6.38962e-05
step 5271, training accuracy -6.42538e-05
step 5281, training accuracy -6.42538e-05
step 5291, training accuracy -6.40154e-05
step 5301, training accuracy -6.42538e-05
step 5311, training accuracy -6.42538e-05
step 5321, training accuracy -6.42538e-05
step 5331, training accuracy -6.42538e-05
step 5341, training accuracy -6.41346e-05
step 5351, training accuracy -6.42538e-05
step 5361, training accuracy -6.42538e-05
step 5371, training accuracy -6.42538e-05
step 5381, training accuracy -6.41346e-05
step 5391, training accuracy -6.42538e-05
step 5401, training accuracy -6.42538e-05
step 5411, training accuracy -6.40154e-05
step 5421, training accuracy -6.42538e-05
step 5431, training accuracy -6.41346e-05
step 5441, training accuracy -6.42538e-05
step 5451, training accuracy -6.42538e-05
step 5461, training accuracy -6.42538e-05
step 5471, training accuracy -6.36578e-05
step 5481, training accuracy -6.42538e-05
step 5491, training accuracy -6.42538e-05
step 5501, training accuracy -6.42538e-05
step 5511, training accuracy -6.42538e-05
step 5521, training accuracy -6.42538e-05
step 5531, training accuracy -6.42538e-05
step 5541, training accuracy -6.44922e-05
step 5551, training accuracy -6.44922e-05
step 5561, training accuracy -6.44922e-05
step 5571, training accuracy -6.44922e-05
step 5581, training accuracy -6.4373e-05
step 5591, training accuracy -6.44922e-05
step 5601, training accuracy -6.44922e-05
step 5611, training accuracy -6.44922e-05
step 5621, training accuracy -6.46114e-05
step 5631, training accuracy -6.42538e-05
step 5641, training accuracy -6.4373e-05
step 5651, training accuracy -6.46114e-05
step 5661, training accuracy -6.38962e-05
step 5671, training accuracy -6.46114e-05
step 5681, training accuracy -6.46114e-05
step 5691, training accuracy -6.47306e-05
step 5701, training accuracy -6.46114e-05
step 5711, training accuracy -6.46114e-05
step 5721, training accuracy -6.47306e-05
step 5731, training accuracy -6.46114e-05
step 5741, training accuracy -6.41346e-05
step 5751, training accuracy -6.44922e-05
step 5761, training accuracy -6.44922e-05
step 5771, training accuracy -6.47306e-05
step 5781, training accuracy -6.46114e-05
step 5791, training accuracy -6.44922e-05
step 5801, training accuracy -6.47306e-05
step 5811, training accuracy -6.44922e-05
step 5821, training accuracy -6.44922e-05
step 5831, training accuracy -6.47306e-05
step 5841, training accuracy -6.44922e-05
step 5851, training accuracy -6.41346e-05
step 5861, training accuracy -6.4373e-05
step 5871, training accuracy -6.44922e-05
step 5881, training accuracy -6.44922e-05
step 5891, training accuracy -6.3777e-05
step 5901, training accuracy -6.47306e-05
step 5911, training accuracy -6.44922e-05
step 5921, training accuracy -6.47306e-05
step 5931, training accuracy -6.46114e-05
step 5941, training accuracy -6.47306e-05
step 5951, training accuracy -6.44922e-05
step 5961, training accuracy -6.46114e-05
step 5971, training accuracy -6.47306e-05
step 5981, training accuracy -6.44922e-05
step 5991, training accuracy -6.46114e-05
step 6001, training accuracy -6.4373e-05
step 6011, training accuracy -6.47306e-05
step 6021, training accuracy -6.4373e-05
step 6031, training accuracy -6.4373e-05
step 6041, training accuracy -6.41346e-05
step 6051, training accuracy -6.47306e-05
step 6061, training accuracy -6.47306e-05
step 6071, training accuracy -6.46114e-05
step 6081, training accuracy -6.47306e-05
step 6091, training accuracy -6.47306e-05
step 6101, training accuracy -6.46114e-05
step 6111, training accuracy -6.47306e-05
step 6121, training accuracy -6.47306e-05
step 6131, training accuracy -6.47306e-05
step 6141, training accuracy -6.47306e-05
step 6151, training accuracy -6.47306e-05
step 6161, training accuracy -6.44922e-05
step 6171, training accuracy -6.47306e-05
step 6181, training accuracy -6.44922e-05
step 6191, training accuracy -6.47306e-05
step 6201, training accuracy -6.46114e-05
step 6211, training accuracy -6.47306e-05
step 6221, training accuracy -6.47306e-05
step 6231, training accuracy -6.44922e-05
step 6241, training accuracy -6.47306e-05
step 6251, training accuracy -6.38962e-05
step 6261, training accuracy -6.47306e-05
step 6271, training accuracy -6.46114e-05
step 6281, training accuracy -6.47306e-05
step 6291, training accuracy -6.47306e-05
step 6301, training accuracy -6.44922e-05
step 6311, training accuracy -6.46114e-05
step 6321, training accuracy -6.46114e-05
step 6331, training accuracy -6.47306e-05
step 6341, training accuracy -6.47306e-05
step 6351, training accuracy -6.44922e-05
step 6361, training accuracy -6.47306e-05
step 6371, training accuracy -6.3777e-05
step 6381, training accuracy -6.47306e-05
step 6391, training accuracy -6.46114e-05
step 6401, training accuracy -6.47306e-05
step 6411, training accuracy -6.47306e-05
step 6421, training accuracy -6.47306e-05
step 6431, training accuracy -6.47306e-05
step 6441, training accuracy -6.46114e-05
step 6451, training accuracy -6.47306e-05
step 6461, training accuracy -6.47306e-05
step 6471, training accuracy -6.47306e-05
step 6481, training accuracy -6.47306e-05
step 6491, training accuracy -6.47306e-05
step 6501, training accuracy -6.47306e-05
step 6511, training accuracy -6.47306e-05
step 6521, training accuracy -6.47306e-05
step 6531, training accuracy -6.44922e-05
step 6541, training accuracy -6.47306e-05
step 6551, training accuracy -6.47306e-05
step 6561, training accuracy -6.47306e-05
step 6571, training accuracy -6.47306e-05
step 6581, training accuracy -6.47306e-05
step 6591, training accuracy -6.41346e-05
step 6601, training accuracy -6.47306e-05
step 6611, training accuracy -6.47306e-05
step 6621, training accuracy -6.47306e-05
step 6631, training accuracy -6.47306e-05
step 6641, training accuracy -6.4373e-05
step 6651, training accuracy -6.47306e-05
step 6661, training accuracy -6.47306e-05
step 6671, training accuracy -6.47306e-05
step 6681, training accuracy -6.47306e-05
step 6691, training accuracy -6.46114e-05
step 6701, training accuracy -6.47306e-05
step 6711, training accuracy -6.47306e-05
step 6721, training accuracy -6.42538e-05
step 6731, training accuracy -6.47306e-05
step 6741, training accuracy -6.47306e-05
step 6751, training accuracy -6.47306e-05
step 6761, training accuracy -6.47306e-05
step 6771, training accuracy -6.47306e-05
step 6781, training accuracy -6.47306e-05
step 6791, training accuracy -6.47306e-05
step 6801, training accuracy -6.47306e-05
step 6811, training accuracy -6.47306e-05
step 6821, training accuracy -6.47306e-05
step 6831, training accuracy -6.42538e-05
step 6841, training accuracy -6.47306e-05
step 6851, training accuracy -6.47306e-05
step 6861, training accuracy -6.47306e-05
step 6871, training accuracy -6.47306e-05
step 6881, training accuracy -6.38962e-05
step 6891, training accuracy -6.47306e-05
step 6901, training accuracy -6.47306e-05
step 6911, training accuracy -6.47306e-05
step 6921, training accuracy -6.44922e-05
step 6931, training accuracy -6.47306e-05
step 6941, training accuracy -6.47306e-05
step 6951, training accuracy -6.47306e-05
step 6961, training accuracy -6.44922e-05
step 6971, training accuracy -6.47306e-05
step 6981, training accuracy -6.47306e-05
step 6991, training accuracy -6.47306e-05
step 7001, training accuracy -6.44922e-05
step 7011, training accuracy -6.47306e-05
step 7021, training accuracy -6.47306e-05
step 7031, training accuracy -6.47306e-05
step 7041, training accuracy -6.47306e-05
step 7051, training accuracy -6.47306e-05
step 7061, training accuracy -6.47306e-05
step 7071, training accuracy -6.44922e-05
step 7081, training accuracy -6.47306e-05
step 7091, training accuracy -6.47306e-05
step 7101, training accuracy -6.47306e-05
step 7111, training accuracy -6.44922e-05
step 7121, training accuracy -6.47306e-05
step 7131, training accuracy -6.47306e-05
step 7141, training accuracy -6.41346e-05
step 7151, training accuracy -6.3777e-05
step 7161, training accuracy -6.47306e-05
step 7171, training accuracy -6.4373e-05
step 7181, training accuracy -6.47306e-05
step 7191, training accuracy -6.47306e-05
step 7201, training accuracy -6.47306e-05
step 7211, training accuracy -6.47306e-05
step 7221, training accuracy -6.47306e-05
step 7231, training accuracy -6.47306e-05
step 7241, training accuracy -6.47306e-05
step 7251, training accuracy -6.47306e-05
step 7261, training accuracy -6.47306e-05
step 7271, training accuracy -6.47306e-05
step 7281, training accuracy -6.4373e-05
step 7291, training accuracy -6.47306e-05
step 7301, training accuracy -6.47306e-05
step 7311, training accuracy -6.46114e-05
step 7321, training accuracy -6.47306e-05
step 7331, training accuracy -6.47306e-05
step 7341, training accuracy -6.47306e-05
step 7351, training accuracy -6.47306e-05
step 7361, training accuracy -6.44922e-05
step 7371, training accuracy -6.47306e-05
step 7381, training accuracy -6.47306e-05
step 7391, training accuracy -6.47306e-05
step 7401, training accuracy -6.47306e-05
step 7411, training accuracy -6.47306e-05
step 7421, training accuracy -6.47306e-05
step 7431, training accuracy -6.47306e-05
step 7441, training accuracy -6.47306e-05
step 7451, training accuracy -6.47306e-05
step 7461, training accuracy -6.47306e-05
step 7471, training accuracy -6.47306e-05
step 7481, training accuracy -6.47306e-05
step 7491, training accuracy -6.44922e-05
step 7501, training accuracy -6.47306e-05
